id,posted,amount,description,payee,memo,transacted_at,transaction_date
TRN-d0314640-4371-4803-9a17-727fa0ea0e27,1769433357,-22.92,TACO BELL 031585,Taco Bell,,1769293477,20260124
TRN-227add3f-a744-4049-b466-c5b1543f8ac9,1769359943,-96.12,WEGMANS KING #48,Wegmans,,1769292713,20260124
TRN-631ed2c1-02af-4fdc-8f72-894370848e41,1769359945,-21.19,SPOTIFY,Spotify,,1769263047,20260124
TRN-7d9cd2b6-a2dd-4eb4-a2b5-5fef44620be2,1769433354,-2.08,SHIRL'S VARIETY,Shirl's Variety,,1769260463,20260124
TRN-cc17d400-6d03-4bd1-94b1-65f734ffee76,1769433358,-15.62,SHIRL'S VARIETY,Shirl's Variety,,1769258303,20260124
TRN-64c6d762-c377-4791-b0f4-5a1687f5c748,1769359939,-87.07,WEB*BLUEHOST.COM,Bluehost.com,,1769256000,20260124
